"geoLocCountry","year","count"
"",2018,5
"Australia",1956,3
"Australia",1961,2
"Australia",2007,2
"Australia",2016,8
"Australia",2017,7
"Australia",2018,48
"Belgium",2017,7
"Belgium",2018,6
"Belgium",2019,24
"Belgium",2020,1
"Belgium",2021,16
"Belgium",2022,2
"Belgium",2023,3
"Brazil",2008,40
"Brazil",2009,7
"Brazil",2010,15
"Canada",1995,3
"China",2001,23
"China",2002,11
"China",2003,16
"China",2004,10
"China",2005,5
"China",2006,4
"China",2007,4
"China",2008,1
"China",2009,3
"China",2010,13
"China",2011,11
"China",2012,30
"China",2013,8
"China",2014,30
"China",2015,164
"China",2016,10
"China",2017,50
"China",2018,58
"China",2019,73
"China",2020,24
"China",2021,31
"China",2023,4
"China",2024,2
"France",2021,10
"India",2011,2
"India",2020,1
"Japan",1980,1
"Japan",1990,1
"Japan",2021,3
"Japan",2024,2
"Kenya",2007,5
"Kenya",2010,1
"Kenya",2011,1
"Kenya",2012,1
"Kenya",2022,3
"Netherlands",1999,1
"Netherlands",2003,1
"Philippines",2012,5
"Philippines",2013,4
"Russia",2014,2
"Saudi Arabia",2023,9
"South Africa",2007,1
"South Africa",2021,10
"Spain",2012,4
"Sri Lanka",2023,1
"Sri Lanka",2024,1
"Switzerland",2021,3
"Switzerland",2023,74
"Switzerland",2024,19
"Taiwan",2000,4
"Taiwan",2001,1
"Taiwan",2002,12
"Taiwan",2003,10
"Taiwan",2004,8
"Taiwan",2005,1
"Taiwan",2006,12
"Taiwan",2007,4
"Taiwan",2008,16
"Taiwan",2009,3
"Taiwan",2010,6
"Taiwan",2017,20
"Taiwan",2018,27
"Taiwan",2019,45
"Taiwan",2020,25
"Taiwan",2021,8
"USA",1956,2
"USA",1961,1
"USA",1977,5
"USA",1978,3
"USA",1979,7
"USA",1980,8
"USA",1981,7
"USA",1982,10
"USA",1983,2
"USA",1984,10
"USA",1985,11
"USA",1986,8
"USA",1987,10
"USA",1988,9
"USA",1989,5
"USA",1990,9
"USA",1991,6
"USA",1992,9
"USA",1993,6
"USA",1994,20
"USA",1995,12
"USA",1996,4
"USA",1997,5
"USA",1998,5
"USA",2001,65
"USA",2002,28
"USA",2003,31
"USA",2004,11
"USA",2005,4
"USA",2006,1
"USA",2007,4
"USA",2008,1
"USA",2010,2
"USA",2011,25
"USA",2012,27
"USA",2013,140
"USA",2014,2
"USA",2015,40
"USA",2016,15
"USA",2017,4
"USA",2018,18
"USA",2019,102
"USA",2020,126
"USA",2021,3
"USA",2022,161
"USA",2023,7
"USA",2024,2
"United Kingdom",2008,3
"United Kingdom",2009,1
"United Kingdom",2022,9
"Uruguay",1992,1
